,FC_measure,band,subj,r
0,aec,1-delta,.1973WilsonCowan,-0.038839967564959575
1,plv,1-delta,.1973WilsonCowan,-0.038839967564959575
2,aec,2-theta,.1973WilsonCowan,-0.02973938148806522
3,plv,2-theta,.1973WilsonCowan,-0.02973938148806522
4,aec,3-alfa,.1973WilsonCowan,-0.01762561959088484
5,plv,3-alfa,.1973WilsonCowan,-0.01762561959088484
6,aec,4-beta,.1973WilsonCowan,0.0019077477077498732
7,plv,4-beta,.1973WilsonCowan,0.0019077477077498732
8,aec,5-gamma,.1973WilsonCowan,-0.003612236130056538
9,plv,5-gamma,.1973WilsonCowan,-0.003612236130056538
10,aec,1-delta,FC_subj02,0.4392297500716346
11,plv,1-delta,FC_subj02,0.4392297500716346
12,aec,2-theta,FC_subj02,0.425483252644405
13,plv,2-theta,FC_subj02,0.425483252644405
14,aec,3-alfa,FC_subj02,0.44161548114435156
15,plv,3-alfa,FC_subj02,0.44161548114435156
16,aec,4-beta,FC_subj02,0.4465930089049749
17,plv,4-beta,FC_subj02,0.4465930089049749
18,aec,5-gamma,FC_subj02,0.41552857930093534
19,plv,5-gamma,FC_subj02,0.41552857930093534
20,aec,1-delta,FC_subj03,0.38595738153644543
21,plv,1-delta,FC_subj03,0.38595738153644543
22,aec,2-theta,FC_subj03,0.40762848783855293
23,plv,2-theta,FC_subj03,0.40762848783855293
24,aec,3-alfa,FC_subj03,0.4293352273687931
25,plv,3-alfa,FC_subj03,0.4293352273687931
26,aec,4-beta,FC_subj03,0.3303973484866138
27,plv,4-beta,FC_subj03,0.3303973484866138
28,aec,5-gamma,FC_subj03,0.4177847668914203
29,plv,5-gamma,FC_subj03,0.4177847668914203
30,aec,1-delta,FC_subj04,0.41265184116326264
31,plv,1-delta,FC_subj04,0.41265184116326264
32,aec,2-theta,FC_subj04,0.4165731405123235
33,plv,2-theta,FC_subj04,0.4165731405123235
34,aec,3-alfa,FC_subj04,0.4004754048952521
35,plv,3-alfa,FC_subj04,0.4004754048952521
36,aec,4-beta,FC_subj04,0.44620345309870746
37,plv,4-beta,FC_subj04,0.44620345309870746
38,aec,5-gamma,FC_subj04,0.44290813598052586
39,plv,5-gamma,FC_subj04,0.44290813598052586
40,aec,1-delta,FC_subj05,0.36392082876135634
41,plv,1-delta,FC_subj05,0.36392082876135634
42,aec,2-theta,FC_subj05,0.42222909046587376
43,plv,2-theta,FC_subj05,0.42222909046587376
44,aec,3-alfa,FC_subj05,0.40741515356036584
45,plv,3-alfa,FC_subj05,0.40741515356036584
46,aec,4-beta,FC_subj05,0.3518357873943941
47,plv,4-beta,FC_subj05,0.3518357873943941
48,aec,5-gamma,FC_subj05,0.44847374946525354
49,plv,5-gamma,FC_subj05,0.44847374946525354
50,aec,1-delta,FC_subj06,0.36668837033886936
51,plv,1-delta,FC_subj06,0.36668837033886936
52,aec,2-theta,FC_subj06,0.3605306888331396
53,plv,2-theta,FC_subj06,0.3605306888331396
54,aec,3-alfa,FC_subj06,0.39812122020321394
55,plv,3-alfa,FC_subj06,0.39812122020321394
56,aec,4-beta,FC_subj06,0.3871492689924408
57,plv,4-beta,FC_subj06,0.3871492689924408
58,aec,5-gamma,FC_subj06,0.39421526914014626
59,plv,5-gamma,FC_subj06,0.39421526914014626
60,aec,1-delta,FC_subj07,0.38237882689670755
61,plv,1-delta,FC_subj07,0.38237882689670755
62,aec,2-theta,FC_subj07,0.36868148522068067
63,plv,2-theta,FC_subj07,0.36868148522068067
64,aec,3-alfa,FC_subj07,0.394159843179381
65,plv,3-alfa,FC_subj07,0.394159843179381
66,aec,4-beta,FC_subj07,0.40360488423302426
67,plv,4-beta,FC_subj07,0.40360488423302426
68,aec,5-gamma,FC_subj07,0.3997053401110258
69,plv,5-gamma,FC_subj07,0.3997053401110258
70,aec,1-delta,FC_subj08,0.38871720438922286
71,plv,1-delta,FC_subj08,0.38871720438922286
72,aec,2-theta,FC_subj08,0.3701753731557302
73,plv,2-theta,FC_subj08,0.3701753731557302
74,aec,3-alfa,FC_subj08,0.4096212718833191
75,plv,3-alfa,FC_subj08,0.4096212718833191
76,aec,4-beta,FC_subj08,0.4028079803057421
77,plv,4-beta,FC_subj08,0.4028079803057421
78,aec,5-gamma,FC_subj08,0.39007361163013693
79,plv,5-gamma,FC_subj08,0.39007361163013693
80,aec,1-delta,FC_subj09,0.4095745972947108
81,plv,1-delta,FC_subj09,0.4095745972947108
82,aec,2-theta,FC_subj09,0.43678192397366167
83,plv,2-theta,FC_subj09,0.43678192397366167
84,aec,3-alfa,FC_subj09,0.43255165145557706
85,plv,3-alfa,FC_subj09,0.43255165145557706
86,aec,4-beta,FC_subj09,0.46642474875900547
87,plv,4-beta,FC_subj09,0.46642474875900547
88,aec,5-gamma,FC_subj09,0.44262893753803145
89,plv,5-gamma,FC_subj09,0.44262893753803145
90,aec,1-delta,FC_subj10,0.5074221449600896
91,plv,1-delta,FC_subj10,0.5074221449600896
92,aec,2-theta,FC_subj10,0.5076166784580409
93,plv,2-theta,FC_subj10,0.5076166784580409
94,aec,3-alfa,FC_subj10,0.4185896582743092
95,plv,3-alfa,FC_subj10,0.4185896582743092
96,aec,4-beta,FC_subj10,0.4965714561064068
97,plv,4-beta,FC_subj10,0.4965714561064068
98,aec,5-gamma,FC_subj10,0.5167411170946551
99,plv,5-gamma,FC_subj10,0.5167411170946551
