G,speed,mS_peak,mS_module,allSignals
5,1,9.4,0.30174497843620735,"(array([[9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4]]), array([[ 0.30174498],
       [ 2.78602648],
       [ 5.42041769],
       [11.98419057],
       [ 0.68055336],
       [ 2.113767  ],
       [ 2.51139688],
       [ 2.97737399],
       [ 4.41588196],
       [ 2.88423672],
       [ 2.80978436],
       [ 3.02182618],
       [ 3.6916963 ],
       [ 1.29935998],
       [ 4.91662626],
       [ 3.01286901],
       [ 2.432629  ],
       [ 2.15527899],
       [ 3.45716196],
       [ 3.6232321 ],
       [ 3.51542616],
       [ 2.66317323],
       [ 5.24013548],
       [ 1.89339247],
       [10.0587829 ],
       [ 1.61359024],
       [ 5.63595322],
       [ 6.60146061],
       [11.15334515],
       [ 2.20485259],
       [ 4.34617688],
       [ 4.3686967 ],
       [ 1.96030253],
       [ 2.91609391],
       [ 2.19907919],
       [ 2.97523762],
       [ 7.87728811],
       [ 1.85817404],
       [ 2.03487435],
       [ 2.68480289],
       [ 2.95955685],
       [ 4.0595922 ],
       [ 2.88002022],
       [ 2.11485283],
       [ 2.16577177],
       [ 3.27352558],
       [ 2.45747661],
       [ 1.42652599],
       [ 1.75668134],
       [ 2.17460734],
       [ 2.23614688],
       [ 3.33804188],
       [ 1.97989818],
       [ 2.39084526],
       [ 1.25969612],
       [ 8.16784154],
       [ 2.01911754],
       [10.29992948],
       [ 1.33608149],
       [ 3.7054342 ],
       [ 4.80667152],
       [ 4.77918155],
       [ 3.41202022],
       [ 1.93853666],
       [ 2.50506077],
       [ 1.55602295],
       [ 2.29637173]]))"
5,3,9.4,0.6215750025352454,"(array([[9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.6],
       [9.2],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.8],
       [9.6],
       [9.6],
       [9.6],
       [9.4],
       [9.2],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.6],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.6],
       [9.4],
       [9.4],
       [9.4],
       [9.6],
       [9.4],
       [9.2],
       [9.6],
       [9.6],
       [9.6],
       [9.4]]), array([[0.621575  ],
       [1.70534367],
       [1.98646712],
       [2.08970593],
       [1.76262189],
       [2.04679107],
       [1.5463455 ],
       [1.31355687],
       [1.03029439],
       [2.00814498],
       [1.93920217],
       [1.74901525],
       [3.30906153],
       [2.45761998],
       [3.09698489],
       [1.5939311 ],
       [2.21554374],
       [2.09692081],
       [1.68810865],
       [1.22529855],
       [1.75491842],
       [2.62581371],
       [1.86957557],
       [1.71243839],
       [1.16020903],
       [0.70469573],
       [1.84328649],
       [2.71705592],
       [1.33354543],
       [1.83622779],
       [3.07746289],
       [2.08676292],
       [2.05801052],
       [2.52080735],
       [2.32631385],
       [1.23174208],
       [0.95188945],
       [1.6793698 ],
       [1.9547336 ],
       [2.11685408],
       [1.47283117],
       [0.2836459 ],
       [1.75330684],
       [3.73652882],
       [2.74933715],
       [1.00738215],
       [2.95107456],
       [1.40579567],
       [0.97340461],
       [2.45472969],
       [2.44919384],
       [2.6050958 ],
       [1.90188897],
       [1.84842154],
       [0.89562087],
       [3.47555052],
       [1.15852876],
       [2.89099377],
       [2.2302387 ],
       [2.06292677],
       [1.03662232],
       [0.99797822],
       [0.93382304],
       [1.94777066],
       [2.02549618],
       [2.07767476],
       [1.81749989]]))"
